iter	Passed	Remaining
0	67	67089
1	124	62013
2	179	59724
3	232	57952
4	289	57530
5	344	57042
6	399	56648
7	458	56817
8	515	56738
9	574	56905
10	626	56328
11	712	58631
12	789	59907
13	851	59943
14	910	59816
15	1007	61966
16	1065	61584
17	1118	61019
18	1168	60314
19	1221	59873
20	1276	59512
21	1326	58974
22	1378	58560
23	1434	58346
24	1487	58008
25	1540	57693
26	1593	57409
27	1656	57509
28	1707	57169
29	1760	56931
30	1816	56777
31	1868	56508
32	1920	56269
33	1973	56061
34	2026	55866
35	2079	55688
36	2138	55666
37	2189	55426
38	2241	55236
39	2292	55025
40	2343	54807
41	2392	54579
42	2444	54393
43	2495	54225
44	2551	54142
45	2602	53976
46	2654	53821
47	2709	53732
48	2760	53570
49	2814	53482
50	2865	53324
51	2915	53156
52	2969	53058
53	3020	52914
54	3072	52787
55	3123	52661
56	3176	52553
57	3227	52413
58	3279	52309
59	3333	52219
60	3385	52115
61	3436	51985
62	3488	51877
63	3541	51792
64	3591	51664
65	3642	51552
66	3696	51474
67	3746	51354
68	3815	51477
69	3865	51355
70	3914	51218
71	3966	51129
72	4017	51016
73	4068	50908
74	4121	50825
75	4171	50713
76	4223	50629
77	4275	50540
78	4331	50491
79	4383	50410
80	4433	50298
81	4488	50254
82	4539	50152
83	4591	50074
84	4646	50013
85	4696	49918
86	4751	49864
87	4804	49796
88	4861	49760
89	4952	50074
90	5003	49984
91	5061	49957
92	5122	49961
93	5173	49868
94	5229	49815
95	5282	49740
96	5332	49645
97	5383	49550
98	5434	49459
99	5485	49369
100	5537	49287
101	5587	49194
102	5642	49140
103	5692	49044
104	5743	48957
105	5794	48869
106	5846	48791
107	5896	48702
108	5947	48615
109	5997	48525
110	6050	48457
111	6101	48378
112	6151	48285
113	6202	48203
114	6253	48121
115	6300	48017
116	6352	47945
117	6403	47861
118	6453	47779
119	6507	47724
120	6561	47662
121	6611	47578
122	6667	47537
123	6718	47465
124	6771	47401
125	6825	47344
126	6877	47276
127	6927	47196
128	6992	47211
129	7043	47136
130	7095	47066
131	7145	46986
132	7197	46917
133	7244	46817
134	7307	46824
135	7358	46748
136	7408	46669
137	7460	46598
138	7510	46522
139	7560	46443
140	7617	46409
141	7667	46329
142	7716	46247
143	7771	46194
144	7824	46139
145	7877	46080
146	7929	46009
147	7982	45953
148	8036	45900
149	8090	45845
150	8141	45778
151	8191	45700
152	8252	45685
153	8303	45615
154	8354	45546
155	8404	45470
156	8456	45407
157	8509	45346
158	8559	45276
159	8612	45216
160	8665	45156
161	8713	45072
162	8764	45007
163	8817	44946
164	8869	44883
165	8919	44814
166	8968	44733
167	9022	44683
168	9073	44616
169	9124	44548
170	9174	44477
171	9225	44410
172	9275	44340
173	9328	44284
174	9378	44214
175	9431	44155
176	9480	44080
177	9535	44032
178	9584	43962
179	9634	43892
180	9686	43831
181	9736	43760
182	9788	43698
183	9837	43627
184	9887	43559
185	9940	43504
186	9991	43440
187	10041	43371
188	10094	43315
189	10144	43247
190	10197	43192
191	10248	43130
192	10298	43063
193	10347	42991
194	10398	42926
195	10448	42858
196	10501	42807
197	10552	42744
198	10602	42676
199	10652	42610
200	10702	42542
201	10752	42478
202	10807	42432
203	10859	42371
204	10912	42319
205	10965	42265
206	11014	42193
207	11065	42134
208	11116	42073
209	11167	42009
210	11217	41944
211	11267	41881
212	11318	41820
213	11368	41754
214	11417	41686
215	11468	41625
216	11519	41566
217	11569	41501
218	11622	41447
219	11674	41392
220	11728	41342
221	11782	41292
222	11834	41233
223	11884	41169
224	11935	41110
225	11986	41050
226	12036	40989
227	12089	40934
228	12142	40881
229	12195	40829
230	12246	40768
231	12297	40708
232	12346	40642
233	12394	40572
234	12445	40513
235	12496	40456
236	12547	40395
237	12599	40340
238	12649	40275
239	12699	40213
240	12751	40160
241	12806	40111
242	12859	40061
243	12911	40004
244	12962	39946
245	13012	39883
246	13069	39843
247	13124	39796
248	13227	39895
249	13291	39874
250	13344	39822
251	13396	39763
252	13447	39704
253	13503	39660
254	13555	39601
255	13602	39532
256	13654	39475
257	13707	39422
258	13764	39381
259	13817	39327
260	13873	39281
261	13929	39236
262	13984	39189
263	14038	39138
264	14103	39117
265	14156	39062
266	14212	39016
267	14260	38950
268	14312	38895
269	14364	38836
270	14418	38786
271	14482	38762
272	14530	38695
273	14583	38639
274	14631	38574
275	14683	38517
276	14733	38456
277	14787	38403
278	14836	38340
279	14889	38287
280	14939	38226
281	14989	38163
282	15040	38107
283	15092	38049
284	15142	37989
285	15194	37934
286	15244	37872
287	15306	37842
288	15359	37787
289	15407	37721
290	15459	37665
291	15512	37613
292	15565	37559
293	15615	37497
294	15665	37438
295	15716	37379
296	15767	37321
297	15818	37263
298	15868	37203
299	15917	37140
300	15966	37079
301	16017	37021
302	16072	36971
303	16125	36918
304	16174	36855
305	16224	36797
306	16275	36739
307	16324	36678
308	16375	36620
309	16427	36563
310	16477	36504
311	16526	36444
312	16578	36387
313	16628	36329
314	16678	36270
315	16730	36214
316	16783	36162
317	16835	36105
318	16889	36055
